2 68 4958.91 1.0 5006.84 1.0    0.00 0.0	# OI
3 78 6548.06 0.1 6562.82 1.0 6583.57 0.5	# N-Ha-N
2 68 6717.00 1.0 6731.30 -1.0    0.00 0.0	# S-S
